,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
0,chateau-batailley,Château Batailley,Pauillac (Grand Cru Classé),2013,4.1,Pauillac,pauillac,bordeaux
1,haut-bages-monpelou,Château Haut-Bages Monpelou,Pauillac,2012,4.1,Pauillac,pauillac,bordeaux
2,donissan,Château Donissan,Listrac-Médoc,2014,3.7,Listrac-Médoc,listrac,bordeaux
3,m-chapoutier,M. Chapoutier,Ermitage Les Greffieux,2013,4.4,Hermitage,hermitage,hermitage
4,chateau-lynch-moussas,Château Lynch-Moussas,Les Hauts de Lynch-Moussas Haut-Médoc,2016,3.9,Haut-Médoc,haut-medoc,bordeaux
5,m-chapoutier,M. Chapoutier,Crozes-Ermitage Les Varonniers,2013,4.0,Crozes-Hermitage,crozes-hermitage,crozes-hermitage
6,m-chapoutier,M. Chapoutier,Ermitage de l'Orée,2014,4.3,Hermitage,hermitage,rhone
7,m-chapoutier,M. Chapoutier,Domaine de Bila-Haut R.I. (Rectificando Invenies) Côtes du Roussillon Villages,2014,3.8,Côtes du Roussillon Villages,cotes-du-roussillon-villages,languedoc-roussillon
8,villa-symposia,Villa Symposia,l'Equilibre,2016,4.0,Languedoc-Roussillon,languedoc-roussillon,languedoc-roussillon
9,charles-heidsieck,Charles Heidsieck,Blanc des Millenaires Millésime Brut Champagne,2004,4.5,Champagne,champagne,champagne
10,m-chapoutier,M. Chapoutier,Ermitage Le Méal,2013,4.6,Hermitage,hermitage,hermitage
11,m-chapoutier,M. Chapoutier,Châteauneuf-du-Pape Barbe Rac ,2014,4.2,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
12,palais-cardinal,Château Palais Cardinal,Saint-Emilion Grand Cru,2016,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
13,m-chapoutier,M. Chapoutier,Ermitage Les Greffieux,2014,4.2,Hermitage,hermitage,hermitage
14,m-chapoutier,M. Chapoutier,Saint-Joseph Les Granits ,2014,3.9,Saint-Joseph,saint-joseph,saint-joseph
15,chateau-chantemerle-medoc,Château Chantemerle,Médoc,2015,3.5,Médoc,medoc,bordeaux
16,m-chapoutier,M. Chapoutier,Châteauneuf-du-Pape Barbe Rac ,2013,4.3,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
17,m-chapoutier,M. Chapoutier,Ermitage Le Pavillon,2014,4.4,Hermitage,hermitage,hermitage
18,m-chapoutier,M. Chapoutier,Châteauneuf-du-Pape Croix De Bois ,2014,4.0,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
19,salon,Delamotte,Brut Champagne Grand Cru 'Le Mesnil-sur-Oger',N.V.,3.9,Champagne Grand Cru 'Le Mesnil-sur-Oger',champagne-grand-cru-le-mesnil-sur-oger,champagne
20,fr-chateau-poitevin,Château Poitevin,Médoc,2014,3.6,Médoc,medoc,bordeaux
21,chateau-fleur-cardinale,Château Fleur Cardinale,Saint-Émilion Grand Cru (Grand Cru Classé),2014,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
22,domaine-william-fevre,Domaine William Fèvre,Chablis Grand Cru Bougros,2012,4.2,Chablis Grand Cru 'Bougros',chablis-grand-cru-bougros,bourgogne
23,nicolas-pere-fils,Nicolas Pere & Fils,Côtes du Rhône Vieilles Vignes,2016,4.0,Côtes-du-Rhône,cotes-du-rhone,rhone
24,chateau-lafite-rothschild,Château Lafite Rothschild,Carruades de Lafite Pauillac,2008,4.3,Pauillac,pauillac,bordeaux
0,chateau-grand-puy-ducasse,Château Grand-Puy Ducasse,Le Cloitre de Grand-Puy Ducasse Pauillac,2010,4.0,Pauillac,pauillac,bordeaux
1,chateau-latour-a-pomerol,Château Latour à Pomerol,Pomerol,2011,4.2,Pomerol,pomerol,bordeaux
2,haut-madrac-126784,Château Haut-Madrac,Haut-Médoc,2014,3.9,Haut-Médoc,haut-medoc,bordeaux
3,leydet,Vignobles Leydet,Chateau Leydet-Valentin Saint-Émilion Grand Cru,2016,4.3,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
4,sillons,Château Les Grands Sillons,Cuvée Amodis Pomerol,2014,4.0,Pomerol,pomerol,bordeaux
5,saint-ange-139365,Château Saint Ange,Saint-Émilion Grand Cru,2015,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
6,fargues,Château de Fargues,Sauternes (Lur Saluces),2007,4.5,Sauternes,sauternes,bordeaux
7,chateau-rouget,Château Rouget,Le Carillon de Rouget Pomerol,2013,3.9,Pomerol,pomerol,bordeaux
8,daugay,Château Daugay,Saint-Émilion Grand Cru,2015,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
9,m-chapoutier,M. Chapoutier,Côte-Rôtie La Mordorée ,2013,4.3,Côte-Rôtie,cote-rotie,rhone
10,chateau-rocher-gardat,Château Rocher Gardat,Montagne-Saint-Émilion,2016,3.9,Montagne-Saint-Émilion,montagne-saint-emilion,bordeaux
11,antoine-angst,Vignobles Angst,Chablis,2018,3.9,Chablis,chablis,bourgogne
12,mouton-pere-et-fils,Domaine Mouton,Côte-Rôtie,2016,4.1,Côte-Rôtie,cote-rotie,rhone
13,roc-de-levraut,Château Roc de Levraut,Bordeaux Supérieur,2018,4.0,Bordeaux Supérieur,bordeaux-superieur,bordeaux
14,chateau-peyredon-lagravette,Château Peyredon Lagravette,Haut-Médoc Rouge,2014,3.7,Haut-Médoc,haut-medoc,bordeaux
15,m-chapoutier,M. Chapoutier,Côte-Rôtie La Mordorée ,2014,4.3,Côte-Rôtie,cote-rotie,rhone
16,chateau-simard,Château Simard,Saint-Émilion Grand Cru,2010,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
17,chateau-paloumey,Château Paloumey,Haut-Médoc,2014,3.7,Haut-Médoc,haut-medoc,bordeaux
18,chateau-des-annereaux,Château des Annereaux,Lalande-de-Pomerol,2016,4.0,Lalande-de-Pomerol,lalande-de-pomerol,bordeaux
19,domaine-de-marzilly,Domaine de Marzilly,Ullens Brut Champagne,N.V.,4.1,Champagne,champagne,champagne
20,patrick-jasmin,Patrick Jasmin,La Giroflarie Côte-Rôtie,2017,3.6,Côte-Rôtie,cote-rotie,rhone
21,domaine-gilles-barge,Gilles Barge,Côte-Brune Côte-Rôtie,2012,4.1,Côte-Rôtie,cote-rotie,rhone
22,chateau-la-faviere,Château La Favière,Bordeaux Supérieur,2016,4.1,Bordeaux Supérieur,bordeaux-superieur,bordeaux
23,chateau-soutard,Château Soutard,Les Jardins de Soutard Saint-Émilion,2014,4.0,Saint-Émilion,saint-emilion,bordeaux
24,clos-vieux-taillefer,Clos Vieux Taillefer,Pomerol,2011,4.0,Pomerol,pomerol,bordeaux
0,fr-aegerter-jean-luc-paul,Aegerter,Vieilles Vignes Chablis Premier Cru,2018,4.3,Chablis Premier Cru,chablis-premier-cru,bourgogne
1,pascal-jolivet,Pascal Jolivet,Sancerre La Bondenotte Rouge,2016,3.6,Sancerre,sancerre,loire-valley
2,grand-corbin,Château Grand Corbin,Les Charmes de Grand Corbin Saint-Émilion Grand Cru,2012,3.8,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
3,domaine-de-la-janasse,Domaine de la Janasse,Clos St. Antonin Châteauneuf-du-Pape,2015,3.9,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
4,chateau-la-dominique,Château La Dominique,Saint-Émilion Grand Cru (Grand Cru Classé),2014,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
5,vouette-et-sorbe,Vouette et Sorbée,Blanc d'Argile Brut Nature Champagne,N.V.,4.2,Champagne,champagne,champagne
6,paveil-de-luze,Château Paveil de Luze,Margaux,2017,3.7,Margaux,margaux,bordeaux
7,chateau-capbern,Château Capbern,Saint-Estèphe,2015,4.0,Saint-Estèphe,saint-estephe,bordeaux
8,domaine-de-la-cote-de-l-ange,Domaine de la Cote de l'Ange,Vieilles Vignes Châteauneuf-du-Pape,2015,4.2,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
9,paul-jaboulet-aine-1387,Paul Jaboulet Aîné,Crozes-Hermitage Domaine de Thalabert,2010,4.0,Crozes-Hermitage,crozes-hermitage,crozes-hermitage
10,chateau-beauvillage,Château Beauvillage,Médoc,2015,3.8,Médoc,medoc,bordeaux
11,domaine-piron-lameloise,Domaine Piron Lameloise,Morgon Côte du Py,2017,3.6,Morgon,morgon,beaujolais
12,fr-chateau-latour,Château Latour,Les Forts de Latour Pauillac,2013,4.2,Pauillac,pauillac,bordeaux
13,chateau-de-candale,Château de Candale,Saint-Émilion Grand Cru,2015,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
14,malandes,Domaine des Malandes,Chablis Premier Cru 'Vau de Vey',2018,3.9,Chablis 1er Cru 'Vau de Vey',chablis-vau-de-vey,bourgogne
15,chateau-beauvillage,Château Beauvillage,Médoc,2016,3.8,Médoc,medoc,bordeaux
16,charles-westler,Charles Westler,Réserve Brut Champagne,N.V.,3.9,Champagne,champagne,champagne
17,chartron-et-trebuchet,Chartron et Trébuchet,Meursault Premier Cru 'Les Charmes',2016,4.3,Meursault Premier Cru,meursault-premier-cru,cote-de-beaune
18,haut-bages-monpelou,Château Haut-Bages Monpelou,Pauillac,2014,4.2,Pauillac,pauillac,bordeaux
19,fr-chateau-latour-martillac,Château Latour-Martillac,Pessac-Léognan (Grand Cru Classé de Graves),2005,4.2,Pessac-Léognan,pessac-leognan,bordeaux
20,domaine-ribiera,Domaine Ribiera,Amassa Cinsault - Grenache,2018,3.8,Languedoc-Roussillon,languedoc-roussillon,languedoc-roussillon
21,taittinger,Taittinger,Cuvée Prestige Brut Champagne,N.V.,4.1,Champagne,champagne,champagne
22,chateau-tayac-margaux,Château Tayac,Margaux,2016,4.0,Margaux,margaux,bordeaux
23,tour-sieujean,Château Tour Sieujean,Pauillac,2014,4.0,Pauillac,pauillac,bordeaux
24,courtedune,Domaine Font de Courtedune,Châteauneuf-du-Pape,2017,4.1,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
0,paveil-de-luze,Château Paveil de Luze,Margaux,2015,4.0,Margaux,margaux,bordeaux
1,chateau-cantenac-brown,Château Cantenac Brown,BriO de Cantenac Brown Margaux,2016,3.8,Margaux,margaux,bordeaux
2,commanderie,Château La Commanderie,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
3,chateau-la-cabanne,Château La Cabanne,Pomerol,2016,3.8,Pomerol,pomerol,bordeaux
4,haut-madrac-126784,Château Haut-Madrac,Haut-Médoc,2015,3.8,Haut-Médoc,haut-medoc,bordeaux
5,grand-verdus,Château Le Grand Verdus,Bordeaux Supérieur,2018,4.0,Bordeaux Supérieur,bordeaux-superieur,bordeaux
6,la-grave-figeac,Château La Grave Figeac,Saint-Émilion Grand Cru,2015,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
7,chateau-maucaillou,Château Maucaillou,Moulis-en-Médoc,2016,3.9,Moulis-en-Médoc,moulis-en-medoc,bordeaux
8,fr-chateau-latour-martillac,Château Latour-Martillac,Pessac-Léognan (Grand Cru Classé de Graves),2015,4.1,Pessac-Léognan,pessac-leognan,bordeaux
9,chateau-leoville-las-cases,Château Léoville Las Cases,La Petite Marquise Saint-Julien,2016,3.9,Saint-Julien,saint-julien,bordeaux
10,chateau-de-sales,Château de Sales,Pomerol,2014,4.0,Pomerol,pomerol,bordeaux
11,lespault-martillac,Château Lespault Martillac,Pessac-Léognan,2016,3.9,Pessac-Léognan,pessac-leognan,bordeaux
12,chateau-la-gaffeliere,Château La Gaffelière,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2017,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
13,meyney,Château Meyney,Saint-Estèphe,2013,3.8,Saint-Estèphe,saint-estephe,bordeaux
14,fr-chateau-latour,Château Latour,Grand Vin Pauillac (Premier Grand Cru Classé),2011,4.5,Pauillac,pauillac,bordeaux
15,schieferkopf,Schieferkopf,Lieu-dit Buehl Riesling,2015,3.9,Alsace,alsace,alsace
16,chateau-olivier,Château Olivier,Pessac-Léognan (Grand Cru Classé),2013,3.9,Pessac-Léognan,pessac-leognan,bordeaux
17,chateau-la-lagune,Château La Lagune,Haut-Médoc (Grand Cru Classé),2015,4.0,Haut-Médoc,haut-medoc,bordeaux
18,fleur-fompeyre,Château La Fleur Fompeyre,Vieilles Vignes Castillon Côtes de Bordeaux,2016,4.1,Castillon - Côtes de Bordeaux,cotes-de-castillon,bordeaux
19,chateau-chasse-spleen,Château Chasse-Spleen,Moulis-en-Médoc,2016,3.9,Moulis-en-Médoc,moulis-en-medoc,bordeaux
20,champagne-de-saint-gall,Champagne de Saint-Gall,Blanc de Blancs Brut Champagne Premier Cru,N.V.,3.8,Champagne Premier Cru,champagne-premier-cru,champagne
21,chateau-d-issan,Château d'Issan,Margaux (Grand Cru Classé),2013,3.9,Margaux,margaux,bordeaux
22,fr-chateau-haut-bages-liberal,Château Haut-Bages Libéral,La Chapelle de Bages Pauillac,2012,3.7,Pauillac,pauillac,bordeaux
23,xavier-vignon,Xavier Vignon,Châteauneuf-du-Pape Cuvée Anonyme Rouge,2016,4.0,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
24,chateau-maris,Château Maris,Les Planels,2017,3.9,Minervois La Livinière,minervois-la-liviniere,languedoc-roussillon
0,chateau-clinet,Château Clinet,Pomerol,2014,4.0,Pomerol,pomerol,bordeaux
1,fr-chateau-daiguilhe,Château d'Aiguilhe,Castillon - Côtes de Bordeaux,2015,4.0,Castillon - Côtes de Bordeaux,cotes-de-castillon,bordeaux
2,la-croix-du-casse,Château La Croix du Casse,Pomerol,2013,3.8,Pomerol,pomerol,bordeaux
3,chanson-pere-and-fils,Chanson,Clos Des Mouches Beaune 1er Cru,2016,4.5,Beaune Premier Cru,beaune-premier-cru,cote-de-beaune
4,de-venoge,De Venoge,Cordon Bleu Brut Champagne,2002,4.0,Champagne,champagne,champagne
5,fayat,Château Fayat,Pomerol,2015,3.9,Pomerol,pomerol,bordeaux
6,domaine-jean-chartron,Jean Chartron,Puligny-Montrachet,2016,4.2,Puligny-Montrachet,puligny-montrachet,cote-de-beaune
7,louis-latour,Louis Latour,Chassagne-Montrachet Blanc,2015,4.2,Chassagne-Montrachet,chassagne-montrachet,cote-de-beaune
8,louis-latour,Louis Latour,Meursault Blanc,2015,4.0,Meursault,meursault,cote-de-beaune
9,la-confession,Château La Confession,Saint-Émilion Grand Cru,2014,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
10,chateau-bellefont-belcier,Château Bellefont-Belcier,Saint-Émilion Grand Cru (Grand Cru Classé),2011,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
11,fr-chateau-de-la-dauphine,Château de la Dauphine,Fronsac,2013,3.3,Fronsac,fronsac,bordeaux
12,chateau-de-fieuzal,Château de Fieuzal,Pessac-Léognan (Grand Cru Classé de Graves),2013,3.9,Pessac-Léognan,pessac-leognan,bordeaux
13,chateau-la-dominique,Château La Dominique,Saint-Émilion Grand Cru (Grand Cru Classé),2010,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
14,joseph-mellot,Joseph Mellot,La Grande Châtelaine Sancerre,2014,4.2,Sancerre,sancerre,loire-valley
15,la-chablisienne,La Chablisienne,Chablis Grand Cru 'Valmur',2015,4.3,Chablis Grand Cru 'Valmur',chablis-grand-cru-valmur,bourgogne
16,chateau-batailley,Château Batailley,Pauillac (Grand Cru Classé),2016,4.2,Pauillac,pauillac,bordeaux
17,taittinger,Taittinger,Millésimé Brut Champagne,2013,4.2,Champagne,champagne,champagne
18,chateau-trotte-vieille,Château Trotte Vieille,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2009,4.3,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
19,faugeres,Château Faugères,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
20,romanin,Château Romanin,Alpilles Rosé,2017,3.7,Alpilles,alpilles,
21,chateau-tronquoy-lalande,Château Tronquoy-Lalande,Saint-Estèphe,2014,3.9,Saint-Estèphe,saint-estephe,bordeaux
22,chateau-batailley,Château Batailley,Pauillac (Grand Cru Classé),2012,4.2,Pauillac,pauillac,bordeaux
23,clos-de-bouard,Clos de Bouard,Dame de Boüard Montagne Saint-Émilion,2016,3.7,Montagne-Saint-Émilion,montagne-saint-emilion,bordeaux
24,fr-chateau-haut-surget,Château Haut-Surget,Lalande-de-Pomerol,2016,3.8,Lalande-de-Pomerol,lalande-de-pomerol,bordeaux
0,chateau-troplong-mondot,Château Troplong Mondot,Mondot Saint-Émilion Grand Cru,2015,3.8,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
1,pontac-lynch,Château Pontac Lynch,Margaux,2016,4.1,Margaux,margaux,bordeaux
2,chateau-angelus,Château Angelus,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2015,4.6,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
3,lespault-martillac,Château Lespault Martillac,Pessac-Léognan,2013,3.7,Pessac-Léognan,pessac-leognan,bordeaux
4,chateau-ducru-beaucaillou,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé),2015,4.6,Saint-Julien,saint-julien,bordeaux
5,la-conseillante,Château La Conseillante,Pomerol,2010,4.6,Pomerol,pomerol,bordeaux
6,m-chapoutier,M. Chapoutier,Cornas Temenos,2016,4.0,Cornas,cornas,cornas
7,chateau-trotte-vieille,Château Trotte Vieille,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2013,3.7,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
8,bouchard-pere-and-fils,Bouchard Père & Fils,Vigne de l'Enfant Jésus Beaune 1er Cru 'Les Grèves',2015,4.4,Beaune 1er Cru 'Les Grèves',beaune-les-greves,cote-de-beaune
9,champagne-gosset,Gosset,Grande Réserve Brut Champagne,N.V.,4.1,Champagne,champagne,champagne
10,chateau-canon,Château Canon,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2010,4.4,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
11,jeff-carrel,Jeff Carrel,La Bette Côtes du Roussillon Villages,2017,3.9,Côtes du Roussillon Villages,cotes-du-roussillon-villages,languedoc-roussillon
12,chateau-fuisse,Château Fuissé,Les Combettes Pouilly-Fuissé,2015,4.3,Pouilly-Fuissé,pouilly-fuisse,maconnais
13,louis-latour,Louis Latour,Puligny-Montrachet,2015,4.3,Puligny-Montrachet,puligny-montrachet,cote-de-beaune
14,bouchard-pere-and-fils,Bouchard Père & Fils,Vosne-Romanée,2016,4.2,Vosne-Romanée,vosne-romanee,cote-de-nuits
15,chateau-vray-croix-de-gay,Château Vray Croix de Gay,Pomerol,2011,4.0,Pomerol,pomerol,bordeaux
16,faiveley,Faiveley,Mazis-Chambertin Grand Cru,2014,4.1,Mazis-Chambertin Grand Cru,mazis-chambertin,cote-de-nuits
17,chateau-camensac,Château de Camensac,Haut-Médoc (Grand Cru Classé),2015,3.8,Haut-Médoc,haut-medoc,bordeaux
18,magnan-figeac,Château Magnan-Figeac,Saint-Émilion Grand Cru,2015,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
19,haut-bages-monpelou,Château Haut-Bages Monpelou,Pauillac,2015,4.0,Pauillac,pauillac,bordeaux
20,les-bachelards,Château des Bachelards - Comtesse de Vazeilles,Fleurie,2014,3.7,Fleurie,fleurie,beaujolais
21,chateau-soutard,Château Soutard,Saint-Émilion Grand Cru (Grand Cru Classé),2014,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
22,louis-latour,Louis Latour,Domaine Latour Corton Grand Cru,2014,4.1,Corton Grand Cru,corton,cote-de-beaune
23,domaine-des-roches-neuves,Domaine des Roches Neuves,Les Memoires Saumur-Champigny,2017,3.8,Saumur-Champigny,saumur-champigny,
24,pascal-jolivet,Pascal Jolivet,Pouilly-Fumé Indigene,2016,4.0,Pouilly-Fumé,pouilly-fume,loire-valley
0,chateau-branas-grand-poujeaux,Château Branas Grand Poujeaux,Moulis,2013,3.7,Moulis-en-Médoc,moulis-en-medoc,bordeaux
1,henri-bourgeois,Henri Bourgeois,Sancerre La Chapelle Des Augustins,2016,3.8,Sancerre,sancerre,loire-valley
2,chateau-le-gay,Château Le Gay,Pomerol,2013,4.3,Pomerol,pomerol,bordeaux
3,couvent-des-jacobins,Couvent des Jacobins,Saint-Émilion Grand Cru (Grand Cru Classé),2014,3.8,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
4,vincent-pinard,Vincent Pinard,Florés Sancerre,2017,3.8,Sancerre,sancerre,loire-valley
5,chateau-lynch-moussas,Château Lynch-Moussas,Pauillac (Grand Cru Classé),2013,3.9,Pauillac,pauillac,bordeaux
6,pol-roger,Pol Roger,Blanc de Blancs Champagne (Extra Cuvée de Réserve),2009,4.2,Champagne,champagne,champagne
7,haut-madrac-126784,Château Haut-Madrac,Haut-Médoc,2016,3.7,Haut-Médoc,haut-medoc,bordeaux
8,brimoncourt,Brimoncourt,Régence Brut Aÿ Champagne,N.V.,3.9,Champagne,champagne,champagne
9,chateau-petit-village,Château Petit-Village,Pomerol,2012,4.0,Pomerol,pomerol,bordeaux
10,chateau-corbin,Château Corbin,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
11,mont-perat,Château Mont-Pérat,Bordeaux Blanc,2015,3.6,Bordeaux,bordeaux,bordeaux
12,vincent-et-denis-berthaut,Domaine Berthaut-Gerbet,Fixin Les Clos,2013,3.8,Fixin,fixin,cote-de-nuits
13,fr-pierre-usseglio,Pierre Usseglio,Châteauneuf-du-Pape,2015,4.1,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
14,chateau-brane-cantenac,Château Brane-Cantenac,Baron de Brane Margaux,2016,3.7,Margaux,margaux,bordeaux
15,chateau-d-issan,Château d'Issan,Margaux (Grand Cru Classé),1985,4.4,Margaux,margaux,bordeaux
16,chateau-duhart-milon,Château Duhart-Milon,Pauillac (Grand Cru Classé),2016,4.1,Pauillac,pauillac,bordeaux
17,laffitte-carcasset,Château Laffitte-Carcasset,Saint-Estèphe,2016,4.0,Saint-Estèphe,saint-estephe,bordeaux
18,chateau-rauzan-segla,Château Rauzan-Ségla,Margaux (Grand Cru Classé),2016,4.2,Margaux,margaux,bordeaux
19,la-tour-figeac,Château La Tour Figeac,Saint-Émilion Grand Cru (Grand Cru Classé),2015,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
20,chateau-cambon-la-pelouse,Château Cambon La Pelouse,Haut-Médoc,2013,3.6,Haut-Médoc,haut-medoc,bordeaux
21,chateau-chauvin,Château Chauvin,Saint-Émilion Grand Cru (Grand Cru Classé),2014,3.6,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
22,domaine-des-roches-neuves,Domaine des Roches Neuves,Clos Romans,2016,4.0,Saumur,saumur,loire-valley
23,chateau-trotte-vieille,Château Trotte Vieille,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2016,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
24,chateau-lafite-rothschild,Château Lafite Rothschild,Carruades de Lafite Pauillac,1987,4.5,Pauillac,pauillac,bordeaux
0,jacquinot-fils,Jacquinot & Fils,Réserve 29 Brut Champagne,N.V.,4.0,Champagne,champagne,champagne
1,fr-chateau-haut-bages-liberal,Château Haut-Bages Libéral,Pauillac (Grand Cru Classé),2014,4.0,Pauillac,pauillac,bordeaux
2,nenin,Château Nénin,Fugue de Nénin Pomerol,2010,3.9,Pomerol,pomerol,bordeaux
3,paul-kuble,Paul Kubler,Riesling K,2016,3.5,Alsace,alsace,alsace
4,fr-domaine-des-lises,Domaine des Lises (Maxime Graillot),Equinoxe Crozes-Hermitage,2018,3.5,Crozes-Hermitage,crozes-hermitage,crozes-hermitage
5,alphonse-mellot,Alphonse Mellot,Edmond Sancerre,2016,4.1,Sancerre,sancerre,loire-valley
6,chateau-prieure-lichine,Château Prieuré-Lichine,Margaux (Grand Cru Classé),2011,4.0,Margaux,margaux,bordeaux
7,chateau-peyrabon,Château Peyrabon,Haut-Médoc,2013,3.3,Haut-Médoc,haut-medoc,bordeaux
8,fr-alfred-gratien,Alfred Gratien,Brut Champagne,N.V.,3.9,Champagne,champagne,champagne
9,domaine-alain-chabanon,Alain Chabanon,Campredon,2017,3.5,Languedoc,languedoc,languedoc-roussillon
10,domaine-des-pothiers,Domaine des Pothiers,Eclipse,2018,3.7,Beaujolais,beaujolais,
11,nicolas-mariotti-bindi,Nicolas Mariotti Bindi,Porcellese Vieilles Vignes,2014,4.1,Patrimonio,patrimonio,
12,faiveley,Faiveley,Gevrey-Chambertin 1er Cru 'Les Cazetiers',2014,4.3,Gevrey-Chambertin 1er Cru 'Les Cazetiers',gevrey-chambertin-les-cazetiers,cote-de-nuits
13,fr-chateau-pape-clement,Château Pape Clément,Clémentin de Pape Clément Pessac-Léognan Blanc,2013,4.0,Pessac-Léognan,pessac-leognan,bordeaux
14,jean-paul-benoit-droin,Jean-Paul & Benoit Droin,Petit Chablis,2018,3.7,Petit Chablis,petit-chablis,bourgogne
15,chateau-trotte-vieille,Château Trotte Vieille,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2012,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
16,chateau-clos-des-jacobins,Clos des Jacobins,Saint-Émilion Grand Cru (Grand Cru Classé),2011,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
17,chateau-brane-cantenac,Château Brane-Cantenac,Margaux (Grand Cru Classé),1993,4.3,Margaux,margaux,bordeaux
18,chateau-feytit-clinet,Château Feytit-Clinet,Pomerol,2013,3.7,Pomerol,pomerol,bordeaux
19,domaine-des-roches-neuves,Domaine des Roches Neuves,Clos de l'Échelier Saumur-Champigny Rouge,2017,3.7,Saumur-Champigny,saumur-champigny,
20,chateau-prieure-lichine,Château Prieuré-Lichine,Margaux (Grand Cru Classé),2002,4.2,Margaux,margaux,bordeaux
21,sylvain-bruneau,Cave Bruneau-Dupuy,Tradition Saint-Nicolas-de-Bourgueil,2016,3.9,Saint-Nicolas-de-Bourgueil,saint-nicolas-de-bourgueil,
22,rene-bourgeon,Rene Bourgeon,Givry,2016,3.6,Givry,givry,cote-chalonnaise
23,l-alexandrin-de-maupassant,L'Alexandrin de Maupassant,Bordeaux,2015,4.2,Bordeaux,bordeaux,bordeaux
24,olivier-leflaive,Olivier Leflaive,Bienvenues-Bâtard-Montrachet Grand Cru,N.V.,4.5,Bienvenues-Bâtard-Montrachet Grand Cru,bienvenues-batard-montrachet-grand-cru,cote-de-beaune
0,christophe-buisson,Christophe Buisson,Auxey-Duresses,2014,3.6,Auxey-Duresses,auxey-duresses,cote-de-beaune
1,chanson-pere-and-fils,Chanson,Chablis Premier Cru 'Fourchaumes',2012,3.8,Chablis 1er Cru 'Fourchaume',chablis-fourchaume,bourgogne
2,landereau,Château Landereau,La Vie en Rosé,2016,3.6,Bordeaux,bordeaux,
3,philippe-loquineau,Philippe Loquineau,Cuvée Salamandre Cour Cheverny,2011,3.5,Cour-Cheverny,cour-cheverny,loire-valley
